Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,India,IND,19460.769,21327.272,24906.264,27128.466,28144.225,30839.47,35705.579,32724.308,42284.177,45386.459,49372.488,55489.044,58925.023,61799.951,60677.849,61887.959,63490.438,68613.237,75378.852,82731.187,83244.567,89786.495,94483.922,99251.022,106192.653,116856.289,121957.086,127776.615,133724.489,150838.378,158297.056,166558.807,188208.775,187031.668,199118.1,216459.343,243360.455,244401.883,263107.25,285483.284,303752.278,298068.428,284834.225,293851.378,296858.318,300011.938,316902.14,335739.519,403403.003,454836.345,414257.323,412508.164,435357.241,461172.921,510915.776,599316.145,648956.324,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Indonesia,IDN,14719.338,19339.758,16244.81,15647.089,15720.429,17682.274,16252.144,17638.27,20593.872,27557.505,29236.991,31602.206,34590.811,38745.522,39390.914,40788.041,45848.501,56405.794,62680.031,63464.769,66189.35,70395.399,75147.831,77788.071,74253.083,78591.144,78334.454,75081.825,87314.937,84817.71,82540.503,103545.079,117200.987,117516.349,113563.323,113955.692,124733.005,143984.755,113266.296,106141.315,155103.099,149980.3,156969.602,162580.112,174035.82,174897.565,152624.207,166360.789,158432.735,181410.157,195836.135,211501.559,218956.57,229598.204,220775.402,219587.294,211802.253,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,"Iran, Islamic Rep.",IRN,21855.32,19339.758,18723.702,20289.511,23589.811,24645.907,26329.06,27630.845,36530.654,28716.277,32746.31,39387.247,38067.127,51180.319,60204.806,65382.61,74242.082,86328.514,85144.073,102672.333,82951.207,80013.94,90200.866,101271.539,103834.772,113321.301,99933.084,109705.639,120200.593,136390.398,139401.005,144087.431,143060.671,146650.664,157394.974,156734.914,158396.065,143328.362,175014.909,227904.05,210287.782,227647.36,218102.159,210962.51,221772.826,223004.938,233551.23,225362.819,234137.95,233107.523,227720.7,223877.684,245322.3,250947.478,245600.992,224834.771,215157.558,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Iraq,IRQ,6791.284,7025.972,7345.001,7528.351,7066.309,8052.732,15111.707,6787.617,9343.516,10076.916,11426.372,12515.471,14315.968,12937.176,12896.839,12541.14,22486.044,22728.066,19765.13,23630.148,21851.653,22167.015,20384.853,28829.954,27385.156,28760.281,30912.81,36189.623,50908.961,55133.345,33237.688,39519.259,53640.876,57370.215,64150.498,67109.767,62379.337,60641.179,64315.513,62012.637,61730.278,75356.85,77722.065,85323.756,95565.687,87377.276,71876.867,35016.183,63200.745,70776.767,79456.556,99419.704,113240.627,122628.147,124722.004,121168.681,142653.634,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Ireland,IRL,3212.292,3755.008,4506.743,5181.471,5859.866,6541.928,7135.982,8118.738,8272.752,9468.194,10828.651,13520.229,13600.903,14976.028,15086.038,14488.317,14576.325,15361.063,16494.166,17583.265,16226.475,14579.992,12603.479,11675.728,11778.404,11386.035,13560.566,12163.439,10747.977,10439.949,12933.509,13175.531,13157.196,13538.564,15394.066,15515.077,16395.157,17836.288,19970.482,22599.721,21939.661,23498.136,22999.424,22115.677,23461.466,22376.034,22159.681,23157.105,21360.275,21048.58,20054.823,17586.932,16780.192,17253.235,16794.86,17645.604,18687.032,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Israel,ISR,5944.207,6527.26,7326.666,7631.027,8478.104,12159.772,12812.498,12915.174,12966.512,13872.261,15632.421,15309.725,15929.448,18573.355,18423.008,18437.676,18496.348,18797.042,20065.824,19911.81,19941.146,19893.475,20439.858,18327.666,15496.742,15980.786,16989.211,17528.26,20186.835,21338.273,24843.925,24062.854,27385.156,27638.179,29930.054,30395.763,29350.668,30095.069,29031.639,28279.904,29170.985,30626.784,28232.233,30813.801,24532.23,23560.475,25727.672,25151.953,29229.657,27157.802,28136.891,28023.214,35173.864,22966.421,20293.178,21880.989,22786.738,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Italy,ITA,61374.579,72551.595,91088.28,107366.093,122444.797,134369.881,155517.47,168810.345,181784.191,199077.763,225249.142,239920.809,254163.437,274049.578,272502.104,252399.61,267159.285,255644.905,266601.901,276792.494,270903.292,258996.543,247137.465,245736.671,233125.858,231842.408,235524.076,243254.112,247680.181,252663.634,252725.973,256231.625,259498.922,258574.838,254911.505,265006.756,261057.397,261798.131,260514.681,251490.194,250830.134,246620.418,247760.855,244662.24,237203.562,228945.478,223819.012,216030.304,204699.274,188876.169,178590.234,175062.58,154182.682,150999.726,143984.755,..,..,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Jamaica,JAM,1364.124,2020.517,2016.85,2295.542,3927.357,2838.258,3344.304,3696.336,3674.334,4066.703,4767.1,5537.17,6076.219,8093.069,7400.006,7983.059,7099.312,7282.662,8973.149,8423.099,8375.428,7330.333,6112.889,6310.907,5012.789,4924.781,4429.736,5229.142,4345.395,6512.592,7176.319,7429.342,7300.997,7634.694,7832.712,8771.464,9251.841,9662.545,9251.841,9534.2,9856.896,10175.925,9702.882,10139.255,10091.584,9922.902,11045.004,9259.175,9515.865,7102.979,6688.608,7135.982,6798.618,7352.335,6604.267,6908.628,7576.022,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Japan,JPN,80681.334,107787.798,121861.744,151146.406,178527.895,201120.282,226363.91,282894.382,334276.386,402405.579,503127.068,553210.954,611864.619,651556.227,635799.128,606521.8,645289.324,669245.835,652040.271,679715.12,631175.041,591032.392,567251.897,560031.574,568564.683,529914.503,540798.159,536676.451,585388.879,615659.964,659249.593,649825.403,678846.041,659088.245,695186.193,691185.496,693734.061,675322.054,655982.296,662153.857,661266.443,636554.53,639612.808,640665.237,627266.019,624801.795,597181.951,583878.075,555015.118,506068.002,511370.484,526617.87,537050.485,512140.554,486277.203,459471.433,442628.902,..,..,..,..,..
